,Dzień Znalezienia,Numer Pociągu,Relacja Pociągu,Stacja Znalezienia,Rodzaj Rzeczy
647,2025-01-04,3534.0,Kraków Gł. - Bydgoszcz Gł.,Bydgoszcz Główna,Ubranie
648,2025-01-03,130.0,Zebrzydowice - Warszawa Wsch.,Warszawa Wschodnia,Etui
649,2025-01-03,8302.0,Świnoujście - Kraków Główny,Kraków Główny,Ubranie
650,2025-01-03,3530.0,Kraków Gł. - Olsztyn Gł.,Olsztyn Główny,Walizka / Plecak
651,2025-01-03,5220.0,Bydgoszcz Gł. - Lublin Gł.,Toruń Główny,Rzeczy Osobiste
652,2025-01-03,5310.0,Gdynia Główna -Kraków Główny,Kraków Główny,Ubranie
653,2025-01-03,1122.0,Terespol - Warszawa Zach.,Warszawa Zachodnia,Reklamówka / Torba
654,2025-01-03,4524.0,Racibórz - Olsztyn Gł.,Nowy Dwór Mazowiecki,Rzeczy Osobiste
655,2025-01-03,63100.0,Wrocław Gł. - Przemyśl Gł.,Przemyśl Główny,Ubranie
656,2025-01-03,31100.0,Zakopane - Warszawa Wsch.,Kraków Główny,Sprzęt Elektroniczny
657,2025-01-03,6129.0,Wrocław-Białystok,Białystok,Obuwie
658,2025-01-03,32102.0,Kraków Gł. - Lublin Gł.,Puławy Miasto,Telefon
659,2025-01-03,3112.0,Kraków Gł. - Warszawa Wsch.,Warszawa Wschodnia,Sprzęt Turystyczny
660,2025-01-03,65100.0,Jelenia Góra - Gdynia Gł.,Gdynia Główna,Portfel
661,2025-01-03,8102.0,Szczecin Gł. - Warszawa Wsch.,Warszawa Wschodnia,Telefon
662,2025-01-03,8354.0,Szczecin Gł. - Przemyśl Gł.,Przemyśl Główny,Walizka / Plecak
663,2025-01-03,1310.0,Warszawa Wschodnia - Kraków Główny,Kraków Główny,Ubranie
664,2025-01-03,6135.0,Zgorzelec - Warszawa,Warszawa Olszynka Grochowska,Sprzęt Elektroniczny
665,2025-01-03,265.0,Gdynia Gł. - Praha Hl. N.,Leszno,Saszetka / Nerka
666,2025-01-03,81107.0,Kołobrzeg -Warszawa  Wschodnia,Warszawa Olszynka Grochowska,Portfel
667,2025-01-03,1632.0,Warszawa Wsch. - Zgorzelec,Zgorzelec,Walizka / Plecak
668,2025-01-03,5326.0,Olsztyn Główny - Kraków Główny,Kraków Główny,Sprzęt Elektroniczny
669,2025-01-03,57112.0,Olsztyn Gł. - Poznań Gł.,Inowrocław,Portfel
670,2025-01-03,,,Bydgoszcz Główna,Dokument/Y
671,2025-01-03,,,Bydgoszcz Główna,Sprzęt Elektroniczny
672,2025-01-03,23102.0,Lublin Główny - Kraków Główny,Kraków Główny,Ubranie
673,2025-01-03,2520.0,Lublin Gł. - Bydgoszcz Gł.,Bydgoszcz Główna,Ubranie
674,2025-01-03,85106.0,Szczecin Gł. - Olsztyn Gł.,Olsztyn Główny,Walizka / Plecak
675,2025-01-03,8302.0,Świnoujście - Kraków Gł.,Katowice,Rzeczy Osobiste
676,2025-01-03,5334.0,Bydgoszcz Gł. - Kraków Gł.,Kraków Główny,Ubranie
677,2025-01-03,3128.0,Kraków Gł. - Łódź Fabryczna,Kraków Główny,Dokument/Y
678,2025-01-03,1000.0,Łódź Fabryczna - Białystok,Łapy,Walizka / Plecak
679,2025-01-02,8300.0,Kołobrzeg - Kraków Główny,Kraków Główny,Ubranie
680,2025-01-02,262.0,Praha Hl. N. - Gdynia Gł.,Strzelin,Reklamówka / Torba
681,2025-01-02,8306.0,Słupsk - Przemyśl Gł.,Przeworsk,Sprzęt Sportowy
682,2025-01-02,3530.0,Kraków Gł. - Olsztyn Gł.,Olsztynek,Reklamówka / Torba
683,2025-01-02,2702.0,Lublin Gł. - Zielona Góra Gł.,Zielona Góra Główna,Rzeczy Osobiste
684,2025-01-02,3530.0,Kraków Gł. - Olsztyn Gł.,Olsztyn Główny,Sprzęt Sportowy
685,2025-01-02,1628.0,Białystok - Wrocław Gł.,Wrocław Główny,Sprzęt Elektroniczny
686,2025-01-02,35104.0,Zakopane - Gdynia Gł.,Gdynia Główna,Reklamówka / Torba
687,2025-01-02,5324.0,Olsztyn Główny -Kraków Główny,Kraków Główny,Walizka / Plecak
688,2025-01-02,54100.0,Gdynia Gł. - Bielsko-Biała Gł.,Wrocław Główny,Walizka / Plecak
689,2025-01-02,35104.0,Zakopane - Gdynia Gł.,Gdynia Główna,Walizka / Plecak
690,2025-01-02,73005.0,Frankfrut - Kraków,Kraków Główny,Reklamówka / Torba
691,2025-01-02,13108.0,Warszawa Zach. - Rzeszów Główny,Rzeszów Główny,Ubranie
692,2025-01-02,83171.0,Kołobrzeg -Kraków Główny,Kraków Główny,Sprzęt Elektroniczny
693,2025-01-02,83171.0,Kołobrzeg-Kraków Główny,Kraków Główny,Ubranie
694,2025-01-02,22019.0,Lublin- Rawa Ruska,Lublin,Telefon
695,2025-01-02,5324.0,Olsztyn - Kraków,Kraków Główny,Reklamówka / Torba
696,2025-01-02,1630.0,Warszawa Wsch. - Wrocław Gł.,Wrocław Główny,Sprzęt Elektroniczny
697,2025-01-02,31100.0,Zakopane - Warszawa Wsch.,Warszawa Zachodnia,Dokument/Y
698,2025-01-02,38104.0,Rzeszów Główny - Piła Gł.,Toruń Główny,Rzeczy Osobiste
699,2025-01-02,61102.0,Wrocław Gł. - Warszawa Wsch.,Warszawa Wschodnia,Reklamówka / Torba
700,2025-01-02,115.0,Praha Hl. N. - Przemyśl Gł.,Kraków Główny,Artykuły Dziecięce
701,2025-01-02,71100.0,Zielona Góra Gł. - Warszawa Wsch.,Kutno,Telefon
702,2025-01-02,8312.0,Słupsk - Przemyśl Gł.,Przemyśl Główny,Sprzęt Agd
703,2025-01-02,5310.0,Gdynia Główna - Kraków Główny,Kraków Główny,Sprzęt Elektroniczny
704,2025-01-02,38104.0,Rzeszów Główny - Piła Gł.,Piła Główna,Sprzęt Agd
705,2025-01-02,3506.0,Kraków Gł. - Gdynia Gł.,Gdynia Główna,Reklamówka / Torba
706,2025-01-02,2702.0,Lublin Gł. - Zielona Góra Gł.,Zielona Góra Główna,Reklamówka / Torba
707,2025-01-02,8300.0,Kołobrzeg - Kraków Główny,Kraków Główny,Sprzęt Turystyczny
708,2025-01-02,8300.0,Kołobrzeg - Kraków Główny,Kraków Główny,Parasol
709,2025-01-02,5620.0,Ełk - Wrocław Gł.,Wrocław Główny,Sprzęt Elektroniczny
710,2025-01-02,75102.0,Poznań Gł. - Olsztyn Gł.,Olsztyn Główny,Ubranie
711,2025-01-02,8314.0,Szczecin Główny - Kraków Główny,Kraków Główny,Artykuły Medyczne
712,2025-01-02,83172.0,Świnoujście - Przemyśl Gł,Przemysl Bakonczyce,Sprzęt Elektroniczny
713,2025-01-02,43008.0,Praga - Przemyśl,Przemyśl Bak.,Walizka / Plecak
714,2025-01-02,6102.0,Wrocław Gł. - Warszawa Wsch.,Warszawa Wschodnia,Ubranie
715,2025-01-02,3560.0,Zakopane - Gdynia Gł.,Gdynia Główna,Rzeczy Osobiste
716,2025-01-02,1620.0,Warszawa Wsch. - Wrocław Gł.,Wrocław Główny,Ubranie
717,2025-01-02,3524.0,Kraków Gł. - Olsztyn Gł.,Olsztyn Główny,Walizka / Plecak
718,2025-01-02,83171.0,Kołobrzeg-Kraków Główny,Kraków Główny,Telefon
719,2025-01-02,38104.0,Rzeszów Główny - Piła Gł.,Piła Główna,Parasol
720,2025-01-01,50108.0,Olsztyn Gł. - Gdynia Gł.,Gdynia Główna,Ubranie
721,2025-01-01,3720.0,Kraków Gł. - Poznań Gł.,Pabianice,Telefon
722,2025-01-01,5700.0,Gdynia Gł. - Poznań Gł.,Poznań Główny,Rzeczy Osobiste
723,2025-01-01,260.0,Praha Hl. N. - Gdynia Gł.,Tczew,Ubranie
724,2025-01-01,3804.0,Kraków Gł. - Kołobrzeg,Oborniki Śląskie,Reklamówka / Torba
725,2025-01-01,1604.0,Warszawa Wsch. - Wrocław Gł.,Wrocław Główny,Ubranie
726,2025-01-01,15104.0,Łódź Fabryczna - Gdynia Gł.,Gdynia Główna,Sprzęt Elektroniczny
727,2025-01-01,6102.0,Wrocław Gł. - Warszawa Wsch.,Opole Główne,Saszetka / Nerka
728,2025-01-01,5328.0,Olsztyn Gł. - Kraków Gł.,Warszawa Służewiec,Dokument/Y
729,2025-01-01,35104.0,Zakopane - Gdynia Gł.,Warszawa Centralna,Rzeczy Osobiste
730,2025-01-01,38104.0,Rzeszów-Piła Gł.,Piła Główna,Sprzęt Elektroniczny
731,2025-01-01,31106.0,Krakow-Warszawa,Warszawa Olszynka Grochowska,Portfel
732,2025-01-01,4506.0,Bielsko-Biała Gł. - Gdynia Gł.,Gdynia Główna,Ubranie
733,2025-01-01,3722.0,Kraków Gł. - Poznań Gł.,Środa Wielkopolska,Portfel
734,2025-01-01,1620.0,Warszawa Wsch. - Wrocław Gł.,Wrocław Główny,Saszetka / Nerka
735,2025-01-01,61106.0,Wrocław Gł. - Białystok,Białystok,Artykuły Dziecięce
736,2025-01-01,8314.0,Szczecin Główny -Kraków Główny,Kraków Główny,Rzeczy Osobiste
737,2025-01-01,5324.0,Olsztyn Główny -Kraków Główny,Kraków Główny,Sprzęt Elektroniczny
738,2025-01-01,16150.0,Warszawa Wsch. - Szklarska Por.G.,Szklarska Poręba Górna,Ubranie
739,2025-01-01,5320.0,Olsztyn Gł. - Kraków Gł.,Olsztyn Główny,Saszetka / Nerka
740,2025-01-01,,,Bydgoszcz Główna,Książka
741,2025-01-01,31108.0,Rzeszów Główny - Warszawa Zach.,Rzeszów Główny,Ubranie
742,2025-01-01,8305.0,Kołobrzeg-Kraków Główny,Kraków Główny,Sprzęt Elektroniczny
743,2025-01-01,38108.0,Zakopane - Szczecin Gł.,Jędrzejów,Portfel
744,2025-01-01,37106.0,Przemyśl Gł. - Poznań Gł.,Poznań Główny,Sprzęt Elektroniczny
745,2025-01-01,83171.0,Kołobrzeg - Kraków,Kraków Główny,Ubranie
746,2025-01-01,37106.0,Przemyśl Gł. - Poznań Gł.,Bochnia,Rzeczy Osobiste
747,2025-01-01,3800.0,Kraków Gł. - Kołobrzeg,Kołobrzeg,Reklamówka / Torba
748,2025-01-01,1620.0,Warszawa Wsch. - Wrocław Gł.,Wrocław Główny,Walizka / Plecak
749,2025-01-01,5304.0,Gdynia Gł. - Kraków Gł.,Kraków Główny,Etui
750,2025-01-01,17102.0,Warszawa Wsch. - Zielona Góra Gł.,Nowy Tomyśl,Portfel
751,2025-01-01,5424.0,Olsztyn Gł. - Racibórz,Racibórz,Walizka / Plecak
752,2025-01-01,3812.0,Przemyśl Gł. - Słupsk,Koszalin,Portfel
753,2025-01-01,1628.0,Białystok - Wrocław Gł.,Wrocław Główny,Ubranie
754,2025-01-01,265.0,Gdynia Gł. - Praha Hl. N.,Strzelin,Rzeczy Osobiste
755,2025-01-01,115.0,Praha Hl. N. - Przemyśl Gł.,Przemyśl Główny,Walizka / Plecak
756,2025-01-01,85104.0,Szczecin Gł. - Olsztyn Gł.,Olsztyn Główny,Rzeczy Osobiste
757,2025-01-01,8109.0,Szczecin Gł-Suwałki,Białystok,Reklamówka / Torba
758,2025-01-01,83100.0,Świnoujście - Rzeszów Główny,Werbkowice,Sprzęt Elektroniczny
759,2025-01-01,8320.0,Szczecin Główny - Kraków Główny,Kraków Główny,Ubranie
760,2025-01-01,16150.0,Warszawa Wsch. - Szklarska Por.G.,Szklarska Poręba Górna,Telefon
761,2025-01-01,5450.0,Gdynia Gł. - Bielsko-Biała Gł.,Warszawa Zachodnia,Reklamówka / Torba
762,2025-01-01,31108.0,Rzeszów Główny - Warszawa Zach.,Warszawa Zachodnia,Ubranie
763,2025-01-01,5220.0,Bydgoszcz Gł. - Lublin Gł.,Bydgoszcz Główna,Sprzęt Elektroniczny
764,2025-01-01,5101.0,Gdynia Gł. - Warszawa Zach.,Tczew,Rzeczy Osobiste
765,2024-12-31,13100.0,Warszawa Wsch. - Zakopane,Zakopane,Telefon
766,2024-12-31,8320.0,Szczecuin - Kraków,Kraków Główny,Książka
767,2024-12-31,3506.0,Kraków Gł. - Gdynia Gł.,Iława Główna,Rzeczy Osobiste
768,2024-12-31,73000.0,Berlin - Przemyśl,Przemyśl Bak,Etui
769,2024-12-31,6300.0,Wrocław Gł. - Przemyśl Gł.,Przemyśl Główny,Rzeczy Osobiste
770,2024-12-31,8358.0,Świnoujście-Przemyśl,Przemyśl Bakończyce,Sprzęt Elektroniczny
771,2024-12-31,83104.0,Piła Gł. - Rzeszów Główny,Wyrzysk Osiek,Rzeczy Osobiste
772,2024-12-31,6301.0,Wrocław - Przemyśl,Przemyśl Bak.,Artykuły Dziecięce
773,2024-12-31,83104.0,Piła Gł. - Rzeszów Główny,Otwock,Walizka / Plecak
774,2024-12-31,56100.0,Gdynia Gł. - Jelenia Góra,Wrocław Główny,Artykuły Dziecięce
775,2024-12-31,6300.0,Wrocław - Przemyśl,Przemyśl Bakończyce,Rzeczy Osobiste
776,2024-12-31,38100.0,Rzeszów Główny - Świnoujście,Sochaczew,Walizka / Plecak
777,2024-12-31,1104.0,Białystok-Łódź Fabr,Koluszki,Portfel
778,2024-12-31,3526.0,Kraków Gł. - Olsztyn Gł.,Warszawa Wschodnia,Etui
779,2024-12-31,5324.0,Olsztyn Główny-Kraków Główny,Kraków Główny,Sprzęt Elektroniczny
780,2024-12-31,5300.0,Gdynia Główna -Kraków Główny,Kraków Główny,Saszetka / Nerka
781,2024-12-31,73104.0,Zielona Góra Gł. - Przemyśl Gł.,Przemyśl Główny,Ubranie
782,2024-12-31,8120.0,Szczecin Gł. - Łódź Fabryczna,Jarocin,Sprzęt Sportowy
783,2024-12-31,37103.0,,Poznań Główny,Sprzęt Elektroniczny
784,2024-12-31,57104.0,Gdynia Gł. - Zielona Góra Gł.,Opalenica,Sprzęt Elektroniczny
785,2024-12-31,6520.0,Wrocław Gł. - Ełk,Białystok,Rzeczy Osobiste
786,2024-12-31,31100.0,Zakopane-Warszawa Wsch,Warszawa Olszynka Grochowska,Saszetka / Nerka
787,2024-12-31,4508.0,Gliwice - Gdynia Gł.,Gliwice,Sprzęt Elektroniczny
788,2024-12-31,6124.0,Wrocław Gł.-Białystok,Białystok,Rzeczy Osobiste
789,2024-12-31,5600.0,Gdynia Gł. - Wrocław Gł.,Wrocław Główny,Sprzęt Elektroniczny
790,2024-12-31,1306.0,Warszawa - Kraków,Kraków Główny,Sprzęt Elektroniczny
791,2024-12-31,8300.0,Kołobrzeg  - Kraków,Kraków Główny,Ubranie
792,2024-12-31,23112.0,Hrubieszów - Kraków,Kraków Główny,Ubranie
793,2024-12-31,5320.0,Olsztyn - Kraków,Kraków Główny,Rzeczy Osobiste
794,2024-12-31,16152.0,Warszawa Wsch. - Szklarska Poręba Górna,Wrocław Główny,Kosztowności
795,2024-12-31,57112.0,Olsztyn Gł. - Poznań Gł.,Mogilno,Portfel
796,2024-12-31,1122.0,Terespol - Warszawa Zach.,Warszawa Zachodnia,Sprzęt Elektroniczny
797,2024-12-31,262.0,Praha Hl. N. - Gdynia Gł.,Gdynia Główna,Rzeczy Osobiste
798,2024-12-31,65100.0,Jelenia Góra - Gdynia Gł.,Gniezno,Dokument/Y
799,2024-12-31,4520.0,Bielsko-Biała Gł. - Gdynia Gł.,Bydgoszcz Główna,Walizka / Plecak
800,2024-12-31,38102.0,Rzeszów Główny - Kołobrzeg,Białogard,Sprzęt Elektroniczny
801,2024-12-31,3560.0,Zakopane - Gdynia Gł.,Gdynia Główna,Sprzęt Sportowy
802,2024-12-31,261.0,Gdynia Gł. - Praha Hl. N.,Inowrocław,Telefon
803,2024-12-31,4508.0,Gliwice - Gdynia Gł.,Gdynia Główna,Portfel
804,2024-12-31,4502.0,Gliwice - Gdynia Gł.,Warszawa Wschodnia,Dokument/Y
805,2024-12-31,38102.0,Rzeszów Główny - Kołobrzeg,Białogard,Etui
806,2024-12-30,1628.0,Białystok - Wrocław Gł.,Wrocław Główny,Ubranie
807,2024-12-30,,,Wrocław Główny,Saszetka / Nerka
808,2024-12-30,3506.0,Kraków Gł. - Gdynia Gł.,Gdynia Główna,Walizka / Plecak
809,2024-12-30,63106.0,Jelenia Góra - Kraków,Kraków Główny,Sprzęt Elektroniczny
810,2024-12-30,,,Wrocław Główny,Rzeczy Osobiste
811,2024-12-30,1306.0,Warszawa Wschodnia - Kraków Główny,Kraków Główny,Ubranie
812,2024-12-30,51100.0,Gdynia Gł. - Łódź Fabryczna,Prabuty,Reklamówka / Torba
813,2024-12-30,7324.0,Poznań - Kraków,Kraków Główny,Rzeczy Osobiste
814,2024-12-30,31106.0,Przemyśl Gł. - Warszawa Wsch.,Warszawa Wschodnia,Sprzęt Elektroniczny
815,2024-12-30,8322.0,Szczecin Główny - Kraków Główny,Kraków Główny,Reklamówka / Torba
816,2024-12-30,1310.0,Warszawa Wschodnia -Kraków Główny,Kraków Główny,Ubranie
817,2024-12-30,31107.0,Przemyśl - Warszawa,Warszawa Olszynka Grochowska,Artykuły Muzyczne
818,2024-12-30,4120.0,Bielsko-Biała Gł. - Białystok,Warszawa Centralna,Portfel
819,2024-12-30,73106.0,Poznań Gł. - Przemyśl Gł.,Dębica,Sprzęt Elektroniczny
820,2024-12-30,8108.0,Szczecin Gł. - Suwałki,Białystok,Artykuły Muzyczne
821,2024-12-30,1127.0,Terespol-Warszawa,Warszawa Olszynka Grochowska,Sprzęt Elektroniczny
822,2024-12-30,57104.0,Gdynia Gł. - Zielona Góra Gł.,Zbąszynek,Reklamówka / Torba
823,2024-12-30,6220.0,Wrocław Gł. - Kielce Główne,Kielce Główne,Rzeczy Osobiste
824,2024-12-30,,,Wrocław Główny,Sprzęt Elektroniczny
825,2024-12-30,13000.0,Mockava - Kraków,Kraków Główny,Ubranie
826,2024-12-30,3506.0,Kraków Gł. - Gdynia Gł.,Gdynia Główna,Ubranie
827,2024-12-30,45104.0,Bielsko-Biała Gł. - Gdynia Gł.,Gdynia Główna,Rzeczy Osobiste
828,2024-12-30,73150.0,Poznań-Zakopane,Kraków Główny,Walizka / Plecak
829,2024-12-30,7102.0,Zielona Góra Gł. - Warszawa Wsch.,Warszawa Wschodnia,Walizka / Plecak
830,2024-12-30,51104.0,Gdynia Gł. - Łódź Fabryczna,Skierniewice,Walizka / Plecak
831,2024-12-30,3812.0,Przemyśl Gł. - Słupsk,Koszalin,Ubranie
832,2024-12-30,83100.0,Świnoujście - Rzeszów Główny,Warszawa Wschodnia,Telefon
833,2024-12-30,8305.0,Kołobrzeg- Kraków Główny,Kraków Główny,Ubranie
834,2024-12-30,8300.0,Kołobrzeg - Kraków Główny,Kraków Główny,Ubranie
835,2024-12-30,1306.0,Warszawa Wschodnia - Kraków Główny,Kraków Główny,Reklamówka / Torba
836,2024-12-30,3101.0,Kraków Gł. - Warszawa Wsch.,Warszawa Olszynka Grochowska,Sprzęt Elektroniczny
837,2024-12-30,7322.0,Poznań Gł. - Kraków Gł.,Kraków Główny,Etui
838,2024-12-30,25100.0,Chełm - Bydgoszcz Gł.,Toruń Główny,Sprzęt Elektroniczny
839,2024-12-30,16104.0,Białystok - Wrocław Gł.,Wrocław Główny,Sprzęt Elektroniczny
840,2024-12-30,51106.0,Gdynia Gł. - Łódź Fabryczna,Łódź Fabryczna,Reklamówka / Torba
841,2024-12-29,3508.0,Rzeszów Główny - Gdynia Gł.,Gdynia Główna,Ubranie
842,2024-12-29,5320.0,Olsztyn Gł. - Kraków Gł.,Kraków Główny,Ubranie
843,2024-12-29,1000.0,Łódź Fabryczna - Białystok,Skierniewice,Książka
844,2024-12-29,5360.0,Gdynia Gł. - Zakopane,Zakopane,Artykuły Muzyczne
845,2024-12-29,25102.0,Lulin-Bydgoszcz Gł.,Bydgoszcz Główna,Dokument/Y
846,2024-12-29,85102.0,Szczecin Gł. - Olsztyn Gł.,Pasłęk,Artykuły Spożywcze
847,2024-12-29,32100.0,Kraków Gł. - Lublin Gł.,Lublin Główny,Walizka / Plecak
848,2024-12-29,3800.0,Kraków Gł. - Kołobrzeg,Kołobrzeg,Telefon
849,2024-12-29,4522.0,Katowice - Gdynia Gł.,Gdynia Główna,Rzeczy Osobiste
850,2024-12-29,1122.0,Terespol - Warszawa Zach.,Warszawa Zachodnia,Sprzęt Elektroniczny
851,2024-12-29,1306.0,Warszawa Wsch. - Kraków Gł.,Kraków Główny,Rzeczy Osobiste
852,2024-12-29,80102.0,Gorzów Wlkp. - Piła Gł.,Piła Główna,Rzeczy Osobiste
853,2024-12-29,83192.0,Szczecin Gł. - Zakopane,Nowy Targ,Rzeczy Osobiste
854,2024-12-29,6520.0,Wrocław Gł. - Ełk,Tłuszcz,Sprzęt Elektroniczny
855,2024-12-29,17100.0,Warszawa Wsch. - Zielona Góra Gł.,Gorzów Wielkopolski,Rzeczy Osobiste
856,2024-12-29,5602.0,Olsztyn Gł. - Wrocław Gł.,Wrocław Główny,Rzeczy Osobiste
857,2024-12-29,1306.0,Warszawa-Kraków,Kraków Główny,Książka
858,2024-12-29,73100.0,Poznań Gł. - Kraków Gł.,Kraków Główny,Reklamówka / Torba
859,2024-12-29,460.0,Praha Hl. N. - Gdynia Gł.,Gdynia Główna,Obuwie
860,2024-12-29,71100.0,Zielona Góra Gł. - Warszawa Wsch.,Warszawa Wschodnia,Książka
861,2024-12-29,44000.0,Wiedeń - Katowice,Katowice,Sprzęt Elektroniczny
862,2024-12-29,61150.0,Szklarska Por.G. - Warszawa Wsch.,Jaworzyna Śląska,Rzeczy Osobiste
863,2024-12-29,5334.0,Bydgoszcz Gł. - Kraków Gł.,Miechów,Rzeczy Osobiste
864,2024-12-29,38102.0,Rzeszów Główny - Kołobrzeg,Sochaczew,Rzeczy Osobiste
865,2024-12-29,83106.0,Szczecin Gł. - Zakopane,Zakopane,Ubranie
866,2024-12-29,1634.0,Warszawa Wsch. - Wrocław Gł.,Wrocław Główny,Walizka / Plecak
867,2024-12-29,38106.0,Zakopane - Szczecin Gł.,Gliwice,Książka
868,2024-12-29,38192.0,Zakopane - Szczecin Gł.,Zakopane,Telefon
869,2024-12-29,8120.0,Szczecin Gł-Łodź Fabryczna,Łódź Widzew,Sprzęt Elektroniczny
870,2024-12-29,6102.0,Wrocław Gł. - Warszawa Wsch.,Częstochowa Stradom,Rzeczy Osobiste
871,2024-12-29,5124.0,Bydgoszcz Gł. - Warszawa Wsch.,Warszawa Wschodnia,Portfel
872,2024-12-29,3506.0,Kraków Gł. - Gdynia Gł.,Gdynia Główna,Ubranie
873,2024-12-29,5306.0,Gdynia Główna - Kraków Główny,Kraków Główny,Artykuły Spożywcze
874,2024-12-28,13100.0,Warszawa Wsch. - Zakopane,Zakopane,Książka
875,2024-12-28,2720.0,Lublin - Poznań,Poznań Główny,Sprzęt Elektroniczny
876,2024-12-28,83102.0,Kołobrzeg - Rzeszów Główny,Rzeszów Główny,Ubranie
877,2024-12-28,81114.0,Kołobrzeg-Łódź Fabryczna,Łodź,Reklamówka / Torba
878,2024-12-28,5326.0,Olsztyn Gł. - Kraków Gł.,Kraków Główny,Reklamówka / Torba
879,2024-12-28,20101.0,Lublin Gł. - Hrubieszów Miasto,Hrubieszów Miasto,Ubranie
880,2024-12-28,3534.0,Kraków Gł. - Bydgoszcz Gł.,Bydgoszcz Główna,Ubranie
881,2024-12-28,51102.0,Gdynia Gł. - Łódź Fabryczna,Łódź Fabryczna,Sprzęt Elektroniczny
882,2024-12-28,83172.0,Świnoujście - Przemyśl Gł.,Przemyśl Główny,Ubranie
883,2024-12-28,72100.0,Poznań Gł-Lublin Gł,Lublin Główny,Sprzęt Elektroniczny
884,2024-12-28,1302.0,Warszawa Wsch. - Kraków Gł.,Kraków Główny,Rzeczy Osobiste
885,2024-12-28,15104.0,Łódź Fabryczna - Gdynia Gł.,Warszawa Centralna,Portfel
886,2024-12-28,18154.0,Łódź Fabryczna - Kołobrzeg,Kołobrzeg,Ubranie
887,2024-12-28,4500.0,Bielsko-Biała Gł. - Gdynia Gł.,Bielsko-Biała Główna,Ubranie
888,2024-12-28,4522.0,Katowice - Gdynia Gł.,Gdynia Główna,Reklamówka / Torba
889,2024-12-28,8358.0,Świnoujście - Przemyśl Gł.,Bochnia,Sprzęt Sportowy
890,2024-12-28,25100.0,Chełm - Bydgoszcz Gł.,Bydgoszcz Główna,Artykuły Medyczne
891,2024-12-28,75102.0,Poznań Gł. - Olsztyn Gł.,Olsztyn Główny,Saszetka / Nerka
892,2024-12-28,51111.0,Gdynia -Warszawa,Warszawa Olszynka Grochowska,Sprzęt Elektroniczny
893,2024-12-28,86104.0,Kołobrzeg - Wrocław Gł.,Wrocław Główny,Etui
894,2024-12-28,24103.0,Kielce Główne - Katowice,Katowice,Reklamówka / Torba
895,2024-12-28,16104.0,Białystok - Wrocław Gł.,Wrocław Główny,Dokument/Y
896,2024-12-28,5600.0,Gdynia Gł. - Wrocław Gł.,Wrocław Główny,Reklamówka / Torba
897,2024-12-28,45104.0,Bielsko-Biała Gł. - Gdynia Gł.,Bydgoszcz Główna,Sprzęt Agd
898,2024-12-28,5310.0,Gdynia - Kraków,Kraków Główny,Rzeczy Osobiste
899,2024-12-28,5320.0,Olsztyn Główny -Kraków Główny,Kraków Główny,Ubranie
900,2024-12-28,73104.0,Zielona Góra Gł. - Przemyśl Gł.,Jarosław,Sprzęt Elektroniczny
901,2024-12-28,5306.0,Gdynia-Kraków,Kraków Główny,Książka
902,2024-12-28,1524.0,Warszawa Wsch. - Bydgoszcz Gł.,Bydgoszcz Główna,Ubranie
903,2024-12-28,406.0,München Hbf - Warszawa Wsch.,Kraków Główny,Sprzęt Turystyczny
904,2024-12-28,265.0,Gdynia Gł. - Praha Hl. N.,Wrocław Główny,Walizka / Plecak
905,2024-12-28,7324.0,Poznań - Kraków,Kraków Główny,Ubranie
906,2024-12-28,83171.0,Kołobrzeg - Kraków,Kraków Główny,Sprzęt Elektroniczny
907,2024-12-28,82160.0,Szczecin Gł. - Lublin Gł.,Lubliniec,Etui
908,2024-12-28,23107.0,Lublin-Kraków,Kraków Główny,Książka
909,2024-12-28,2702.0,Lublin Gł. - Zielona Góra Gł.,Zielona Góra Główna,Rzeczy Osobiste
910,2024-12-28,61106.0,Wrocław-Białystok,Białystok,Dokument/Y
911,2024-12-28,38172.0,Przemyśl Gł. - Świnoujście,Rawicz,Sprzęt Elektroniczny
912,2024-12-27,1220.0,Warszawa Zachodnia -Lublni Gł,Lublin Główny,Walizka / Plecak
913,2024-12-27,54104.0,Gdynia Gł. - Bielsko-Biała Gł.,Bielsko-Biała Główna,Saszetka / Nerka
914,2024-12-27,,,Wrocław Główny,Rzeczy Osobiste
915,2024-12-27,5224.0,Bydgoszcz Gł. - Lublin Gł.,Lublin Główny,Walizka / Plecak
916,2024-12-27,83170.0,Kołobrzeg - Kraków Główny,Kraków Główny,Ubranie
917,2024-12-27,8300.0,Kołobrzeg - Kraków Główny,Kraków Główny,Sprzęt Elektroniczny
918,2024-12-27,1306.0,Warszawa Wschodnia - Kraków Główny,Kraków Główny,Rzeczy Osobiste
919,2024-12-27,8300.0,Kołobrzeg - Kraków Gł.,Kraków Główny,Saszetka / Nerka
920,2024-12-27,1306.0,Warszawa Wschodnia - Kraków Główny,Kraków Główny,Książka
921,2024-12-27,83170.0,Kołobrzeg - Kraków Główny,Kraków Główny,Sprzęt Turystyczny
922,2024-12-27,35104.0,Zakopane - Gdynia Gł.,Gdynia Główna,Walizka / Plecak
923,2024-12-27,4508.0,Gliwice - Gdynia Gł.,Gdynia Główna,Ubranie
924,2024-12-27,15104.0,Łódź Fabryczna - Gdynia Gł.,Działdowo,Sprzęt Elektroniczny
925,2024-12-27,36101.0,Przemyśl Gł. - Wrocław Gł.,Wrocław Główny,Ubranie
